Source,Type,Target,Weight
Атуева,Undirected,Иван Сидоров,3
Атуева,Undirected,Лидочка,7
Атуева,Undirected,Муромский,6
Атуева,Undirected,Нелькин,6
Атуева,Undirected,Тарелкин,3
Атуева,Undirected,Тишка,3
Важное лицо,Undirected,Варравин,1
Важное лицо,Undirected,Живец,1
Важное лицо,Undirected,Князь,1
Важное лицо,Undirected,Муромский,1
Важное лицо,Undirected,Тарелкин,1
Варравин,Undirected,Герц,1
Варравин,Undirected,Живец,3
Варравин,Undirected,Ибисов,1
Варравин,Undirected,Князь,5
Варравин,Undirected,Муромский,5
Варравин,Undirected,Парамонов,6
Варравин,Undirected,Тарелкин,10
Варравин,Undirected,Чибисов,1
Варравин,Undirected,Шерц,1
Варравин,Undirected,Шмерц,1
Герц,Undirected,Ибисов,3
Герц,Undirected,Омега,2
Герц,Undirected,Тарелкин,1
Герц,Undirected,Чибисов,3
Герц,Undirected,Шерц,3
Герц,Undirected,Шило,2
Герц,Undirected,Шмерц,3
Живец,Undirected,Князь,1
Живец,Undirected,Муромский,2
Живец,Undirected,Парамонов,2
Живец,Undirected,Тарелкин,5
Ибисов,Undirected,Омега,2
Ибисов,Undirected,Парамонов,2
Ибисов,Undirected,Тарелкин,3
Ибисов,Undirected,Чибисов,5
Ибисов,Undirected,Шерц,3
Ибисов,Undirected,Шило,2
Ибисов,Undirected,Шмерц,3
Иван Сидоров,Undirected,Лидочка,4
Иван Сидоров,Undirected,Муромский,7
Иван Сидоров,Undirected,Нелькин,2
Иван Сидоров,Undirected,Тарелкин,2
Иван Сидоров,Undirected,Тишка,1
Князь,Undirected,Муромский,2
Князь,Undirected,Парамонов,4
Князь,Undirected,Тарелкин,2
Кредитор,Undirected,Тарелкин,1
Кречинский,Undirected,Муромский,1
Лидочка,Undirected,Муромский,6
Лидочка,Undirected,Нелькин,6
Лидочка,Undirected,Тарелкин,2
Лидочка,Undirected,Тишка,3
Муромский,Undirected,Нелькин,4
Муромский,Undirected,Парамонов,2
Муромский,Undirected,Тарелкин,8
Муромский,Undirected,Тишка,2
Нелькин,Undirected,Тишка,3
Омега,Undirected,Тарелкин,1
Омега,Undirected,Чибисов,2
Омега,Undirected,Шерц,2
Омега,Undirected,Шило,2
Омега,Undirected,Шмерц,2
Парамонов,Undirected,Тарелкин,5
Парамонов,Undirected,Чибисов,2
Тарелкин,Undirected,Тишка,1
Тарелкин,Undirected,Чибисов,2
Тарелкин,Undirected,Шерц,1
Тарелкин,Undirected,Шило,1
Тарелкин,Undirected,Шмерц,1
Чибисов,Undirected,Шерц,3
Чибисов,Undirected,Шило,2
Чибисов,Undirected,Шмерц,3
Шерц,Undirected,Шило,2
Шерц,Undirected,Шмерц,3
Шило,Undirected,Шмерц,2
